SEQN,CBD010,CBQ020,CBQ030,CBQ040,CBQ050,CBQ060,CBD070,CBD090,CBD110,CBD120,CBD130,CBQ140,CBD150,CBD160,CBD170,CBD180,CBQ190
41547.0,2.0,1.0,1.0,1.0,5.0,1.0,1071.0,321.0,50.0,60.0,0.0,2.0,5.0,7.0,60.0,10.0,10.0
41548.0,2.0,2.0,1.0,2.0,5.0,1.0,300.0,0.0,200.0,200.0,0.0,2.0,15.0,2.0,60.0,2.0,2.0
41549.0,2.0,2.0,3.0,3.0,5.0,1.0,200.0,0.0,0.0,100.0,0.0,2.0,10.0,7.0,60.0,666.0,nan
41550.0,2.0,1.0,1.0,2.0,5.0,5.0,400.0,0.0,300.0,50.0,0.0,2.0,15.0,7.0,60.0,1.0,1.0
41551.0,2.0,1.0,2.0,1.0,5.0,1.0,300.0,0.0,35.0,50.0,200.0,2.0,300.0,4.0,60.0,8.0,8.0
41552.0,nan,77.0,77.0,77.0,77.0,77.0,777777.0,777777.0,777777.0,777777.0,777777.0,77.0,77777.0,777.0,77777.0,666.0,nan
41553.0,2.0,1.0,1.0,3.0,5.0,1.0,700.0,50.0,0.0,100.0,0.0,2.0,5.0,5.0,120.0,0.0,nan
41554.0,2.0,1.0,1.0,2.0,1.0,4.0,325.0,0.0,250.0,400.0,0.0,3.0,12.0,4.0,120.0,4.0,4.0
41555.0,1.0,1.0,1.0,3.0,5.0,3.0,140.0,0.0,0.0,0.0,5.0,3.0,20.0,3.0,120.0,666.0,nan
41556.0,2.0,1.0,1.0,1.0,5.0,1.0,2400.0,75.0,85.0,60.0,50.0,1.0,1.0,7.0,90.0,7.0,7.0
41557.0,nan,2.0,1.0,1.0,5.0,4.0,150.0,20.0,0.0,10.0,0.0,4.0,10.0,7.0,120.0,666.0,nan
41558.0,2.0,2.0,1.0,3.0,5.0,1.0,45.0,15.0,0.0,64.0,0.0,2.0,10.0,4.0,60.0,666.0,nan
41559.0,1.0,1.0,2.0,1.0,1.0,1.0,500.0,100.0,50.0,100.0,50.0,3.0,10.0,6.0,60.0,14.0,14.0
41560.0,2.0,1.0,1.0,1.0,5.0,4.0,400.0,0.0,0.0,111.0,0.0,2.0,10.0,6.0,30.0,6.0,6.0
41561.0,1.0,1.0,1.0,4.0,1.0,3.0,428.0,0.0,85.0,25.0,0.0,2.0,15.0,7.0,180.0,14.0,14.0
41562.0,2.0,3.0,3.0,2.0,5.0,3.0,500.0,150.0,0.0,100.0,80.0,1.0,10.0,1.0,120.0,666.0,nan
